,Total Population,Pop. that Works from Home,Single Occupant Households,Single Parent Households,Married Parent Households,Undergrads and Grads,Diploma/GED attained,Degree attained,Households in Poverty,Below 40k Earners,40k-100k Earners,Above 100k Earners,Unemployed,Renter Occupied Households,Owner Occupied Households,Crime Counts,walk_score,transit_score,Fast Food Count,Fast Food Consumers,raw_visit_count
421010362013,1059,0,160,45,47,35,384,187,457,187,215,55,30,84,373,54,63,47,0.0,0.0,15483.0
421010362014,1186,9,203,47,48,95,305,225,456,112,261,83,0,32,424,17,53,47,0.0,0.0,8403.0
421010362021,1447,0,304,76,93,82,422,199,683,370,235,78,43,252,431,56,50,48,0.0,0.0,42965.0
421010362022,1599,0,111,46,76,54,578,242,653,91,386,176,27,106,547,43,45,47,0.0,0.0,19625.0
421010362023,1146,5,108,14,155,49,345,194,419,111,151,157,38,0,419,36,37,45,0.0,0.0,16139.0
421010362024,1774,0,93,21,118,75,514,273,605,200,290,115,7,62,543,58,54,47,0.0,0.0,34428.0
421010362031,1467,9,180,74,109,34,489,183,568,202,224,142,37,120,448,72,57,47,1.0,339.0,63127.0
421010362032,1286,0,82,74,81,68,266,167,411,38,210,163,51,35,376,27,32,44,0.0,0.0,18041.0
421010362033,2719,41,129,60,253,141,877,332,860,194,363,303,98,10,850,49,10,44,0.0,0.0,28637.0
421010363011,1499,0,251,33,120,94,567,211,701,211,342,148,53,206,495,467,70,49,8.0,2591.0,119557.0
421010363012,1955,8,84,40,141,115,583,240,593,109,280,204,29,31,562,40,61,49,0.0,0.0,21564.0
421010363021,1660,0,132,143,77,25,384,183,561,231,287,43,54,237,324,56,62,50,0.0,0.0,31204.0
421010363022,1790,35,89,76,164,97,544,139,607,163,323,121,28,60,547,50,41,51,0.0,0.0,32869.0
421010363031,2046,4,273,58,138,31,690,515,846,260,396,190,84,173,673,91,10,47,0.0,0.0,29859.0
421010363032,1158,21,70,57,94,29,345,172,431,118,189,124,15,0,431,30,55,50,0.0,0.0,21585.0
421010363033,1847,15,162,67,160,67,654,225,639,149,348,142,149,0,639,28,51,50,0.0,0.0,16751.0
421010363034,1008,0,101,51,42,44,274,163,384,99,182,103,13,29,355,26,36,48,0.0,0.0,11263.0
